Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Length,Task Coding Sites Average,Task Coding Sites Standard Deviation,Information Type,Information,Information Concentration
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1951,838,5.794586319555554e+25,0.0,merit,328.0,0.39140811455847258
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1951,838,5.794586319555554e+25,0.0,fitness,440.0,0.52505966587112174
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1951,838,5.794586319555554e+25,0.0,efficiency,410.0,0.48926014319809069
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1951,838,5.794586319555554e+25,0.0,viable,56.0,0.066825775656324582
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1967,1010,4.213454411010522e+25,0.0,Task Count,244.0,0.24158415841584158
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1967,1010,4.213454411010522e+25,0.0,gest_time,373.0,0.3693069306930693
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1967,1010,4.213454411010522e+25,0.0,comp_merit,244.0,0.24158415841584158
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1967,1010,4.213454411010522e+25,0.0,merit,304.0,0.30099009900990098
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1967,1010,4.213454411010522e+25,0.0,fitness,456.0,0.4514851485148515
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1967,1010,4.213454411010522e+25,0.0,efficiency,408.0,0.40396039603960399
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1967,1010,4.213454411010522e+25,0.0,viable,30.0,0.029702970297029702
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2086,183,2.0551550950014002e+25,0.0,Task Count,66.0,0.36065573770491804
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2086,183,2.0551550950014002e+25,0.0,gest_time,86.0,0.46994535519125685
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2086,183,2.0551550950014002e+25,0.0,comp_merit,66.0,0.36065573770491804
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2086,183,2.0551550950014002e+25,0.0,merit,75.0,0.4098360655737705
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2086,183,2.0551550950014002e+25,0.0,fitness,114.0,0.62295081967213117
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2086,183,2.0551550950014002e+25,0.0,efficiency,86.0,0.46994535519125685
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2086,183,2.0551550950014002e+25,0.0,viable,14.0,0.07650273224043716
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2098,100,1.9076592016490552e+25,0.0,Task Count,56.0,0.56000000000000005
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2098,100,1.9076592016490552e+25,0.0,gest_time,47.0,0.46999999999999997
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2098,100,1.9076592016490552e+25,0.0,comp_merit,56.0,0.56000000000000005
