Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Organism ID,Update Born,Task Count
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2071,18177517,199358,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2083,13864544,198959,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2087,16969100,199429,141
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2099,14201323,198870,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2093,13578046,197713,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2072,19830991,199468,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2084,21486002,199738,103
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2090,16394747,198578,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2088,21608015,199368,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2094,15532620,191343,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2073,7187830,199004,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2077,18997674,199077,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2091,13165542,198961,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2089,18416535,199575,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2095,13904745,198679,102
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2074,10959092,197236,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2080,19356218,199370,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2078,16240376,196752,136
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2096,8342226,199176,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2075,20792103,199012,108
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2081,6335509,195363,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2079,7769913,197762,103
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2085,7779169,198563,100
