# Avida new tasks data
# Mon Feb  7 14:15:55 2022
# First column gives the current update, all further columns give the number
# of times the particular task has newly evolved since the last time printed.
#  1: Update
#  2: Not
#  3: Nand
#  4: And
#  5: OrNot
#  6: Or
#  7: AndNot
#  8: Nor
#  9: Xor
# 10: Equals

10000 27 5 2 13 52 23 6 0 5 
10100 15 8 4 10 61 14 5 0 2 
10200 21 5 3 13 58 16 3 0 4 
10300 22 5 3 9 77 21 5 0 7 
10400 23 5 3 6 61 22 3 0 5 
10500 24 3 1 7 63 16 1 0 3 
10600 32 11 4 7 54 33 2 1 6 
10700 40 2 2 9 33 14 2 5 7 
10800 13 7 1 2 3 11 2 10 10 
10900 16 4 3 7 4 11 1 4 5 
11000 14 1 2 3 2 8 4 6 6 
11100 14 4 1 3 2 6 2 7 7 
11200 30 4 0 3 2 3 3 4 5 
11300 18 1 0 7 5 11 1 7 8 
11400 12 3 1 3 2 9 1 5 6 
11500 29 6 1 3 0 7 3 5 7 
11600 13 3 1 6 5 5 2 6 6 
11700 32 3 0 3 1 4 1 10 11 
11800 19 4 1 6 5 9 2 11 11 
11900 20 0 1 2 5 6 1 6 6 
12000 22 1 1 4 4 7 1 9 9 
12100 20 1 0 2 3 8 3 13 13 
12200 20 2 5 5 4 6 3 4 6 
12300 51 5 1 6 2 8 2 7 6 
12400 40 9 1 1 2 6 1 6 7 
12500 31 4 1 4 1 9 4 3 4 
12600 16 3 1 2 2 3 2 8 8 
12700 26 3 1 11 1 9 4 6 6 
12800 29 0 0 1 2 6 3 4 4 
12900 17 2 2 2 2 5 1 8 11 
13000 27 4 0 6 2 12 2 8 9 
13100 18 0 1 1 1 6 1 4 6 
13200 27 5 0 2 2 1 1 8 8 
13300 55 1 0 2 6 11 1 4 4 
13400 15 3 1 5 1 5 1 7 7 
13500 33 0 1 5 2 6 3 11 13 
13600 17 10 1 4 4 7 2 5 6 
13700 13 4 2 0 1 8 0 9 9 
13800 22 3 0 0 4 13 0 5 6 
13900 9 4 0 1 3 8 1 6 6 
14000 35 3 2 5 3 9 5 9 10 
14100 26 3 0 2 2 7 2 9 9 
14200 31 4 1 7 0 18 0 9 10 
14300 23 9 0 1 5 15 4 10 10 
14400 32 7 1 9 0 13 4 3 4 
14500 25 2 1 2 2 9 1 9 9 
14600 31 7 2 7 5 8 2 9 10 
14700 30 9 0 6 1 8 2 9 10 
14800 25 6 1 3 5 7 3 11 11 
14900 38 2 0 7 1 16 2 8 9 
15000 21 6 2 6 1 13 3 10 12 
15100 23 6 0 4 2 5 1 8 9 
15200 15 5 0 2 1 4 1 15 16 
15300 30 2 0 1 4 5 1 4 4 
15400 33 4 1 3 1 13 1 7 7 
15500 48 3 0 4 5 9 0 11 11 
15600 27 7 1 2 7 11 4 6 8 
15700 27 4 1 4 3 7 1 12 15 
15800 18 2 2 5 2 8 5 6 7 
15900 13 1 1 7 6 13 5 9 10 
16000 25 2 2 4 4 9 1 6 9 
16100 16 2 0 2 1 4 1 4 4 
16200 26 1 1 0 1 8 2 10 11 
16300 33 3 0 2 5 6 1 13 14 
16400 24 5 1 4 4 6 1 11 12 
16500 27 3 0 4 1 11 3 15 14 
16600 25 3 0 7 0 11 2 12 15 
16700 20 4 0 8 2 14 2 13 15 
16800 18 2 1 1 1 8 1 8 9 
16900 24 6 0 3 1 8 2 10 11 
17000 29 6 2 1 1 6 0 9 9 
17100 24 4 2 5 0 12 1 13 13 
17200 15 2 0 6 1 12 0 19 21 
17300 10 5 0 3 1 13 2 11 12 
17400 28 3 1 4 4 7 1 16 16 
17500 32 4 0 10 2 11 1 11 11 
17600 21 1 0 4 3 14 1 14 14 
17700 10 3 0 2 1 9 2 10 12 
17800 32 4 0 2 1 9 1 10 9 
17900 13 5 0 6 1 9 1 13 14 
18000 21 3 0 1 4 12 3 8 10 
18100 17 5 0 2 5 11 2 6 6 
18200 27 3 1 3 0 10 2 15 16 
18300 20 0 0 2 0 8 1 11 11 
18400 33 4 1 0 4 11 3 10 10 
18500 25 4 1 2 0 5 3 13 13 
18600 34 3 0 1 1 5 1 13 15 
18700 8 3 1 2 6 8 3 9 10 
18800 24 3 2 1 4 9 1 6 9 
18900 18 5 0 0 4 10 2 10 10 
19000 25 2 0 3 4 17 4 8 10 
19100 27 5 1 4 2 17 0 7 9 
19200 42 2 2 3 1 4 3 7 8 
19300 40 5 0 2 2 12 1 13 14 
19400 23 2 0 7 2 10 1 4 4 
19500 28 5 0 3 1 6 4 11 11 
19600 65 4 0 1 1 10 1 8 9 
19700 20 3 0 0 6 12 3 6 6 
19800 20 2 0 4 1 12 3 7 8 
19900 31 2 1 3 3 5 3 9 11 
20000 54 0 2 4 4 7 4 8 9 
20100 34 4 0 3 1 9 1 7 10 
20200 18 2 1 4 3 10 4 3 4 
20300 29 4 0 4 4 6 4 14 14 
20400 14 0 0 4 2 6 1 8 9 
20500 46 3 0 3 3 10 1 14 14 
20600 40 0 0 3 0 9 0 8 11 
20700 14 1 1 5 3 5 1 7 6 
20800 37 2 0 3 2 11 3 12 13 
20900 20 1 2 1 5 15 3 9 9 
21000 38 9 0 0 4 4 2 3 4 
21100 20 2 1 3 1 7 1 6 6 
21200 34 8 4 6 1 6 2 13 12 
21300 31 6 1 2 3 3 3 7 9 
21400 27 2 2 8 4 9 5 12 13 
21500 15 2 1 3 2 12 3 5 5 
21600 17 1 1 0 5 12 0 5 8 
21700 26 7 1 3 4 12 2 11 11 
21800 32 3 1 2 4 8 0 8 9 
21900 27 1 0 3 1 8 0 5 6 
22000 23 6 0 1 3 6 1 6 7 
22100 14 3 2 3 2 5 1 10 9 
22200 33 4 0 5 7 21 5 9 11 
22300 24 3 0 3 5 11 1 7 8 
22400 25 2 0 7 4 6 4 7 11 
22500 41 0 0 1 1 4 0 8 13 
22600 9 1 0 3 1 9 2 5 6 
22700 17 4 0 5 1 7 2 11 13 
22800 21 2 2 3 2 9 3 7 7 
22900 33 2 0 3 8 13 2 11 11 
23000 26 8 0 8 4 12 0 16 16 
23100 20 3 0 4 2 14 1 8 10 
23200 30 4 1 1 0 9 2 8 8 
23300 25 3 0 3 4 9 1 6 8 
