Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Information Type,Information,Information Concentration
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1549,efficiency,77.0,0.6470588235294118
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1549,viable,31.0,0.26050420168067229
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1555,Task Count,60.0,0.5357142857142857
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1555,gest_time,77.0,0.6875
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1555,comp_merit,60.0,0.5357142857142857
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1555,merit,66.0,0.5892857142857143
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1555,fitness,90.0,0.8035714285714286
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1555,efficiency,81.0,0.7232142857142857
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1555,viable,21.0,0.1875
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1530,Task Count,51.0,0.51000000000000001
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1530,gest_time,57.0,0.56999999999999995
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1530,comp_merit,51.0,0.51000000000000001
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1530,merit,54.0,0.54000000000000004
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1530,fitness,75.0,0.75
