,Task Coding Sites,Number of Task Coding Sites,Number of Unique Coding Sites,Viability Sites,Number of Viability Sites,Genome Length,Fraction Task Coding Sites,Fraction Viability Sites,Ratio of Viability Sites to Coding Sites,Genome
"run_1551,ANDNOT","[45, 49, 52, 54, 57, 66, 67, 68, 75, 76]",10,32,"[0, 1, 2, 3, 60, 61, 88, 89, 90, 91, 92, 96, 97, 98, 99]",15,100,0.32,0.15,0.46875,wzcaAyAccccwukcyqrxclscAccntxcayccumcscccccycyycfuccsyciosqcgcccAcmtccbAnyprydlocuccyudyzvvvvfcaxgab
"run_1551,NOR",[45],1,32,"[0, 1, 2, 3, 60, 61, 88, 89, 90, 91, 92, 96, 97, 98, 99]",15,100,0.32,0.15,0.46875,wzcaAyAccccwukcyqrxclscAccntxcayccumcscccccycyycfuccsyciosqcgcccAcmtccbAnyprydlocuccyudyzvvvvfcaxgab
"run_1551,XOR",[],0,32,"[0, 1, 2, 3, 60, 61, 88, 89, 90, 91, 92, 96, 97, 98, 99]",15,100,0.32,0.15,0.46875,wzcaAyAccccwukcyqrxclscAccntxcayccumcscccccycyycfuccsyciosqcgcccAcmtccbAnyprydlocuccyudyzvvvvfcaxgab
"run_1551,EQUALS",[],0,32,"[0, 1, 2, 3, 60, 61, 88, 89, 90, 91, 92, 96, 97, 98, 99]",15,100,0.32,0.15,0.46875,wzcaAyAccccwukcyqrxclscAccntxcayccumcscccccycyycfuccsyciosqcgcccAcmtccbAnyprydlocuccyudyzvvvvfcaxgab
"run_1549,NOT","[9, 16, 18, 19]",4,25,"[0, 1, 2, 3, 4, 5, 90, 96, 97, 98, 99]",11,100,0.25,0.11,0.44,wzcagcczncycjxccswuyumcrfsyjicoofyccueAycpcuccxxcccccofqjysmycyfncncaccrcsecrqrtctfxcAdcewzvvfcaxgab
"run_1549,NAND","[26, 33, 34, 36, 44, 57]",6,25,"[0, 1, 2, 3, 4, 5, 90, 96, 97, 98, 99]",11,100,0.25,0.11,0.44,wzcagcczncycjxccswuyumcrfsyjicoofyccueAycpcuccxxcccccofqjysmycyfncncaccrcsecrqrtctfxcAdcewzvvfcaxgab
"run_1549,AND","[26, 33, 34, 36, 39, 40, 41, 42, 43, 44, 57, 58, 59, 62]",14,25,"[0, 1, 2, 3, 4, 5, 90, 96, 97, 98, 99]",11,100,0.25,0.11,0.44,wzcagcczncycjxccswuyumcrfsyjicoofyccueAycpcuccxxcccccofqjysmycyfncncaccrcsecrqrtctfxcAdcewzvvfcaxgab
"run_1549,ORNOT","[26, 33, 34, 36, 40, 41, 42, 43, 60, 61]",10,25,"[0, 1, 2, 3, 4, 5, 90, 96, 97, 98, 99]",11,100,0.25,0.11,0.44,wzcagcczncycjxccswuyumcrfsyjicoofyccueAycpcuccxxcccccofqjysmycyfncncaccrcsecrqrtctfxcAdcewzvvfcaxgab
"run_1549,OR",[],0,25,"[0, 1, 2, 3, 4, 5, 90, 96, 97, 98, 99]",11,100,0.25,0.11,0.44,wzcagcczncycjxccswuyumcrfsyjicoofyccueAycpcuccxxcccccofqjysmycyfncncaccrcsecrqrtctfxcAdcewzvvfcaxgab
"run_1549,ANDNOT","[10, 11, 19, 20, 21, 25, 26]",7,25,"[0, 1, 2, 3, 4, 5, 90, 96, 97, 98, 99]",11,100,0.25,0.11,0.44,wzcagcczncycjxccswuyumcrfsyjicoofyccueAycpcuccxxcccccofqjysmycyfncncaccrcsecrqrtctfxcAdcewzvvfcaxgab
"run_1549,NOR",[],0,25,"[0, 1, 2, 3, 4, 5, 90, 96, 97, 98, 99]",11,100,0.25,0.11,0.44,wzcagcczncycjxccswuyumcrfsyjicoofyccueAycpcuccxxcccccofqjysmycyfncncaccrcsecrqrtctfxcAdcewzvvfcaxgab
"run_1549,XOR",[],0,25,"[0, 1, 2, 3, 4, 5, 90, 96, 97, 98, 99]",11,100,0.25,0.11,0.44,wzcagcczncycjxccswuyumcrfsyjicoofyccueAycpcuccxxcccccofqjysmycyfncncaccrcsecrqrtctfxcAdcewzvvfcaxgab
"run_1549,EQUALS",[],0,25,"[0, 1, 2, 3, 4, 5, 90, 96, 97, 98, 99]",11,100,0.25,0.11,0.44,wzcagcczncycjxccswuyumcrfsyjicoofyccueAycpcuccxxcccccofqjysmycyfncncaccrcsecrqrtctfxcAdcewzvvfcaxgab
"run_1555,NOT","[31, 49, 50]",3,26,"[7, 13, 14, 15, 24, 25, 74, 75, 90, 97, 100, 101, 102]",13,103,0.2524271844660194,0.1262135922330097,0.5,aaAmcagceieccwrcnbwcccqgcjdicxupkcycnAbcqdccxcuorycccypclacuucmccecAybncycgcoxcucwycmcwzjczvvvfcaxvvgab
"run_1555,NAND","[68, 72, 73, 79, 80, 82, 83]",7,26,"[7, 13, 14, 15, 24, 25, 74, 75, 90, 97, 100, 101, 102]",13,103,0.2524271844660194,0.1262135922330097,0.5,aaAmcagceieccwrcnbwcccqgcjdicxupkcycnAbcqdccxcuorycccypclacuucmccecAybncycgcoxcucwycmcwzjczvvvfcaxvvgab
"run_1555,AND",[],0,26,"[7, 13, 14, 15, 24, 25, 74, 75, 90, 97, 100, 101, 102]",13,103,0.2524271844660194,0.1262135922330097,0.5,aaAmcagceieccwrcnbwcccqgcjdicxupkcycnAbcqdccxcuorycccypclacuucmccecAybncycgcoxcucwycmcwzjczvvvfcaxvvgab
"run_1555,ORNOT","[31, 34, 35, 36, 46, 47, 53, 57, 61, 63, 68]",11,26,"[7, 13, 14, 15, 24, 25, 74, 75, 90, 97, 100, 101, 102]",13,103,0.2524271844660194,0.1262135922330097,0.5,aaAmcagceieccwrcnbwcccqgcjdicxupkcycnAbcqdccxcuorycccypclacuucmccecAybncycgcoxcucwycmcwzjczvvvfcaxvvgab
"run_1555,OR","[34, 35, 36, 46, 47, 53, 54, 55, 57, 59, 60, 62, 63, 70, 71, 72, 73]",17,26,"[7, 13, 14, 15, 24, 25, 74, 75, 90, 97, 100, 101, 102]",13,103,0.2524271844660194,0.1262135922330097,0.5,aaAmcagceieccwrcnbwcccqgcjdicxupkcycnAbcqdccxcuorycccypclacuucmccecAybncycgcoxcucwycmcwzjczvvvfcaxvvgab
"run_1555,ANDNOT",[],0,26,"[7, 13, 14, 15, 24, 25, 74, 75, 90, 97, 100, 101, 102]",13,103,0.2524271844660194,0.1262135922330097,0.5,aaAmcagceieccwrcnbwcccqgcjdicxupkcycnAbcqdccxcuorycccypclacuucmccecAybncycgcoxcucwycmcwzjczvvvfcaxvvgab
"run_1555,NOR",[],0,26,"[7, 13, 14, 15, 24, 25, 74, 75, 90, 97, 100, 101, 102]",13,103,0.2524271844660194,0.1262135922330097,0.5,aaAmcagceieccwrcnbwcccqgcjdicxupkcycnAbcqdccxcuorycccypclacuucmccecAybncycgcoxcucwycmcwzjczvvvfcaxvvgab
"run_1555,XOR",[],0,26,"[7, 13, 14, 15, 24, 25, 74, 75, 90, 97, 100, 101, 102]",13,103,0.2524271844660194,0.1262135922330097,0.5,aaAmcagceieccwrcnbwcccqgcjdicxupkcycnAbcqdccxcuorycccypclacuucmccecAybncycgcoxcucwycmcwzjczvvvfcaxvvgab
"run_1555,EQUALS",[],0,26,"[7, 13, 14, 15, 24, 25, 74, 75, 90, 97, 100, 101, 102]",13,103,0.2524271844660194,0.1262135922330097,0.5,aaAmcagceieccwrcnbwcccqgcjdicxupkcycnAbcqdccxcuorycccypclacuucmccecAybncycgcoxcucwycmcwzjczvvvfcaxvvgab
"run_1530,NOT","[10, 11, 12, 13, 32, 33, 34, 35, 44, 47]",10,23,"[0, 1, 2, 3, 20, 29, 38, 69, 90, 96, 97, 98, 99]",13,100,0.23,0.13,0.5652173913043478,wzcaecynpcycscoccccgccnbcccqgcqbtcocjcvcccnjpqfyuuncyycAbcccjcauyucccvcccucecdcycszcydccsfzvvfcaxgab
"run_1530,NAND","[52, 53, 54, 63, 64]",5,23,"[0, 1, 2, 3, 20, 29, 38, 69, 90, 96, 97, 98, 99]",13,100,0.23,0.13,0.5652173913043478,wzcaecynpcycscoccccgccnbcccqgcqbtcocjcvcccnjpqfyuuncyycAbcccjcauyucccvcccucecdcycszcydccsfzvvfcaxgab
"run_1530,AND",[],0,23,"[0, 1, 2, 3, 20, 29, 38, 69, 90, 96, 97, 98, 99]",13,100,0.23,0.13,0.5652173913043478,wzcaecynpcycscoccccgccnbcccqgcqbtcocjcvcccnjpqfyuuncyycAbcccjcauyucccvcccucecdcycszcydccsfzvvfcaxgab
"run_1530,ORNOT","[53, 54, 64, 65, 73, 74, 79, 80]",8,23,"[0, 1, 2, 3, 20, 29, 38, 69, 90, 96, 97, 98, 99]",13,100,0.23,0.13,0.5652173913043478,wzcaecynpcycscoccccgccnbcccqgcqbtcocjcvcccnjpqfyuuncyycAbcccjcauyucccvcccucecdcycszcydccsfzvvfcaxgab
"run_1530,OR","[10, 11, 12, 13, 32, 33, 47, 48, 49, 51, 52]",11,23,"[0, 1, 2, 3, 20, 29, 38, 69, 90, 96, 97, 98, 99]",13,100,0.23,0.13,0.5652173913043478,wzcaecynpcycscoccccgccnbcccqgcqbtcocjcvcccnjpqfyuuncyycAbcccjcauyucccvcccucecdcycszcydccsfzvvfcaxgab
"run_1530,ANDNOT",[],0,23,"[0, 1, 2, 3, 20, 29, 38, 69, 90, 96, 97, 98, 99]",13,100,0.23,0.13,0.5652173913043478,wzcaecynpcycscoccccgccnbcccqgcqbtcocjcvcccnjpqfyuuncyycAbcccjcauyucccvcccucecdcycszcydccsfzvvfcaxgab
"run_1530,NOR",[],0,23,"[0, 1, 2, 3, 20, 29, 38, 69, 90, 96, 97, 98, 99]",13,100,0.23,0.13,0.5652173913043478,wzcaecynpcycscoccccgccnbcccqgcqbtcocjcvcccnjpqfyuuncyycAbcccjcauyucccvcccucecdcycszcydccsfzvvfcaxgab
"run_1530,XOR",[],0,23,"[0, 1, 2, 3, 20, 29, 38, 69, 90, 96, 97, 98, 99]",13,100,0.23,0.13,0.5652173913043478,wzcaecynpcycscoccccgccnbcccqgcqbtcocjcvcccnjpqfyuuncyycAbcccjcauyucccvcccucecdcycszcydccsfzvvfcaxgab
"run_1530,EQUALS",[],0,23,"[0, 1, 2, 3, 20, 29, 38, 69, 90, 96, 97, 98, 99]",13,100,0.23,0.13,0.5652173913043478,wzcaecynpcycscoccccgccnbcccqgcqbtcocjcvcccnjpqfyuuncyycAbcccjcauyucccvcccucecdcycszcydccsfzvvfcaxgab
"run_1534,NOT","[49, 50, 54, 55, 57, 58, 62, 63, 67, 68]",10,26,"[0, 1, 2, 3, 4, 5, 10, 96, 101, 104, 105, 106]",12,107,0.24299065420560748,0.11214953271028037,0.4615384615384615,wzcagcctbzveccocceckwwuzowyccccpiyctcclusycfuyucsycfdcscctccccncccbycbsmyyztcloxsicsjycjcytcklnrzvfcaxvvgab
"run_1534,NAND","[41, 42, 46, 47, 49, 50]",6,26,"[0, 1, 2, 3, 4, 5, 10, 96, 101, 104, 105, 106]",12,107,0.24299065420560748,0.11214953271028037,0.4615384615384615,wzcagcctbzveccocceckwwuzowyccccpiyctcclusycfuyucsycfdcscctccccncccbycbsmyyztcloxsicsjycjcytcklnrzvfcaxvvgab
"run_1534,AND","[49, 50]",2,26,"[0, 1, 2, 3, 4, 5, 10, 96, 101, 104, 105, 106]",12,107,0.24299065420560748,0.11214953271028037,0.4615384615384615,wzcagcctbzveccocceckwwuzowyccccpiyctcclusycfuyucsycfdcscctccccncccbycbsmyyztcloxsicsjycjcytcklnrzvfcaxvvgab
"run_1534,ORNOT","[23, 33, 34, 35, 36, 39, 40, 41, 42, 44, 45]",11,26,"[0, 1, 2, 3, 4, 5, 10, 96, 101, 104, 105, 106]",12,107,0.24299065420560748,0.11214953271028037,0.4615384615384615,wzcagcctbzveccocceckwwuzowyccccpiyctcclusycfuyucsycfdcscctccccncccbycbsmyyztcloxsicsjycjcytcklnrzvfcaxvvgab
"run_1534,OR","[41, 42, 45, 46, 47, 48, 49, 50, 55, 58, 63, 67, 68, 70, 71]",15,26,"[0, 1, 2, 3, 4, 5, 10, 96, 101, 104, 105, 106]",12,107,0.24299065420560748,0.11214953271028037,0.4615384615384615,wzcagcctbzveccocceckwwuzowyccccpiyctcclusycfuyucsycfdcscctccccncccbycbsmyyztcloxsicsjycjcytcklnrzvfcaxvvgab
"run_1534,ANDNOT",[70],1,26,"[0, 1, 2, 3, 4, 5, 10, 96, 101, 104, 105, 106]",12,107,0.24299065420560748,0.11214953271028037,0.4615384615384615,wzcagcctbzveccocceckwwuzowyccccpiyctcclusycfuyucsycfdcscctccccncccbycbsmyyztcloxsicsjycjcytcklnrzvfcaxvvgab
"run_1534,NOR",[],0,26,"[0, 1, 2, 3, 4, 5, 10, 96, 101, 104, 105, 106]",12,107,0.24299065420560748,0.11214953271028037,0.4615384615384615,wzcagcctbzveccocceckwwuzowyccccpiyctcclusycfuyucsycfdcscctccccncccbycbsmyyztcloxsicsjycjcytcklnrzvfcaxvvgab
"run_1534,XOR",[],0,26,"[0, 1, 2, 3, 4, 5, 10, 96, 101, 104, 105, 106]",12,107,0.24299065420560748,0.11214953271028037,0.4615384615384615,wzcagcctbzveccocceckwwuzowyccccpiyctcclusycfuyucsycfdcscctccccncccbycbsmyyztcloxsicsjycjcytcklnrzvfcaxvvgab
"run_1534,EQUALS",[],0,26,"[0, 1, 2, 3, 4, 5, 10, 96, 101, 104, 105, 106]",12,107,0.24299065420560748,0.11214953271028037,0.4615384615384615,wzcagcctbzveccocceckwwuzowyccccpiyctcclusycfuyucsycfdcscctccccncccbycbsmyyztcloxsicsjycjcytcklnrzvfcaxvvgab
"run_1546,NOT","[64, 75, 77, 78, 79, 80, 84, 85]",8,20,"[0, 1, 2, 3, 4, 5, 13, 14, 41, 53, 93, 94, 95, 99, 101, 102, 103]",17,104,0.19230769230769232,0.16346153846153846,0.85,wzcagcecqAcncicejdnjcclspcsmycybfyoccccugcoucccqcccygcdycfeacyxczxhclauquxpctcyctcuaycaciccykzvvfcaxvgab
"run_1546,NAND","[28, 29, 44]",3,20,"[0, 1, 2, 3, 4, 5, 13, 14, 41, 53, 93, 94, 95, 99, 101, 102, 103]",17,104,0.19230769230769232,0.16346153846153846,0.85,wzcagcecqAcncicejdnjcclspcsmycybfyoccccugcoucccqcccygcdycfeacyxczxhclauquxpctcyctcuaycaciccykzvvfcaxvgab
"run_1546,AND","[28, 29, 39, 42, 47, 64, 71, 74, 75, 76, 78, 79]",12,20,"[0, 1, 2, 3, 4, 5, 13, 14, 41, 53, 93, 94, 95, 99, 101, 102, 103]",17,104,0.19230769230769232,0.16346153846153846,0.85,wzcagcecqAcncicejdnjcclspcsmycybfyoccccugcoucccqcccygcdycfeacyxczxhclauquxpctcyctcuaycaciccykzvvfcaxvgab
"run_1546,ORNOT","[28, 29, 39, 43, 55, 56]",6,20,"[0, 1, 2, 3, 4, 5, 13, 14, 41, 53, 93, 94, 95, 99, 101, 102, 103]",17,104,0.19230769230769232,0.16346153846153846,0.85,wzcagcecqAcncicejdnjcclspcsmycybfyoccccugcoucccqcccygcdycfeacyxczxhclauquxpctcyctcuaycaciccykzvvfcaxvgab
"run_1546,OR",[],0,20,"[0, 1, 2, 3, 4, 5, 13, 14, 41, 53, 93, 94, 95, 99, 101, 102, 103]",17,104,0.19230769230769232,0.16346153846153846,0.85,wzcagcecqAcncicejdnjcclspcsmycybfyoccccugcoucccqcccygcdycfeacyxczxhclauquxpctcyctcuaycaciccykzvvfcaxvgab
"run_1546,ANDNOT",[79],1,20,"[0, 1, 2, 3, 4, 5, 13, 14, 41, 53, 93, 94, 95, 99, 101, 102, 103]",17,104,0.19230769230769232,0.16346153846153846,0.85,wzcagcecqAcncicejdnjcclspcsmycybfyoccccugcoucccqcccygcdycfeacyxczxhclauquxpctcyctcuaycaciccykzvvfcaxvgab
"run_1546,NOR",[],0,20,"[0, 1, 2, 3, 4, 5, 13, 14, 41, 53, 93, 94, 95, 99, 101, 102, 103]",17,104,0.19230769230769232,0.16346153846153846,0.85,wzcagcecqAcncicejdnjcclspcsmycybfyoccccugcoucccqcccygcdycfeacyxczxhclauquxpctcyctcuaycaciccykzvvfcaxvgab
"run_1546,XOR",[],0,20,"[0, 1, 2, 3, 4, 5, 13, 14, 41, 53, 93, 94, 95, 99, 101, 102, 103]",17,104,0.19230769230769232,0.16346153846153846,0.85,wzcagcecqAcncicejdnjcclspcsmycybfyoccccugcoucccqcccygcdycfeacyxczxhclauquxpctcyctcuaycaciccykzvvfcaxvgab
"run_1546,EQUALS",[],0,20,"[0, 1, 2, 3, 4, 5, 13, 14, 41, 53, 93, 94, 95, 99, 101, 102, 103]",17,104,0.19230769230769232,0.16346153846153846,0.85,wzcagcecqAcncicejdnjcclspcsmycybfyoccccugcoucccqcccygcdycfeacyxczxhclauquxpctcyctcuaycaciccykzvvfcaxvgab
"run_1540,NOT","[22, 23, 26, 27, 31, 38, 51, 52, 55]",9,22,"[0, 1, 2, 3, 34, 37, 39, 40, 88, 91, 96, 97, 98, 99]",14,100,0.22,0.14,0.6363636363636365,wzcakcuppstrrrkcsisdxwycnwmcbccpqgccgctpchbebqeccccscqwycuyoccpccecwuccccecsycccqmyAdclgccczvvvvxgab
"run_1540,NAND","[55, 56, 59, 60, 63, 68, 69, 76, 77]",9,22,"[0, 1, 2, 3, 34, 37, 39, 40, 88, 91, 96, 97, 98, 99]",14,100,0.22,0.14,0.6363636363636365,wzcakcuppstrrrkcsisdxwycnwmcbccpqgccgctpchbebqeccccscqwycuyoccpccecwuccccecsycccqmyAdclgccczvvvvxgab
"run_1540,AND","[55, 56]",2,22,"[0, 1, 2, 3, 34, 37, 39, 40, 88, 91, 96, 97, 98, 99]",14,100,0.22,0.14,0.6363636363636365,wzcakcuppstrrrkcsisdxwycnwmcbccpqgccgctpchbebqeccccscqwycuyoccpccecwuccccecsycccqmyAdclgccczvvvvxgab
"run_1540,ORNOT","[22, 23, 31, 38, 57, 58]",6,22,"[0, 1, 2, 3, 34, 37, 39, 40, 88, 91, 96, 97, 98, 99]",14,100,0.22,0.14,0.6363636363636365,wzcakcuppstrrrkcsisdxwycnwmcbccpqgccgctpchbebqeccccscqwycuyoccpccecwuccccecsycccqmyAdclgccczvvvvxgab
"run_1540,OR",[],0,22,"[0, 1, 2, 3, 34, 37, 39, 40, 88, 91, 96, 97, 98, 99]",14,100,0.22,0.14,0.6363636363636365,wzcakcuppstrrrkcsisdxwycnwmcbccpqgccgctpchbebqeccccscqwycuyoccpccecwuccccecsycccqmyAdclgccczvvvvxgab
"run_1540,ANDNOT","[55, 56, 58, 59, 60, 63, 68, 69, 75, 77, 81, 82]",12,22,"[0, 1, 2, 3, 34, 37, 39, 40, 88, 91, 96, 97, 98, 99]",14,100,0.22,0.14,0.6363636363636365,wzcakcuppstrrrkcsisdxwycnwmcbccpqgccgctpchbebqeccccscqwycuyoccpccecwuccccecsycccqmyAdclgccczvvvvxgab
