Treatment,Parameters,Replicate #,Organism ID,Update Born,Task Count
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,272582,64305,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,274287,64725,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,275940,65153,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,279091,65977,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,285224,67516,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,286544,67847,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,290868,69010,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,298631,71049,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,301963,71926,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,312858,74904,0
Slip-NOP,"COPY_MUT_PROB 0.0,COPY_INS_PROB 0.0,COPY_DEL_PROB 0.0,DIVIDE_INS_PROB 0.0,DIVIDE_DEL_PROB 0.0,DIVIDE_SLIP_PROB 0.05,SLIP_FILL_MODE 1",1143,322354,77481,0
